ondo,komando_no_nagasa,tsukawareta_kaisuu,gosa,yesNo
38.29,968,92,8.94,1
33.89,182,5,3.71,0
-1.12,814,63,0.09,0
39.55,996,87,8.43,1
10.09,499,34,4.7,0
-6.69,286,8,0.86,0
-13.09,271,85,0.6,0
15.66,686,99,1.19,0
21.04,75,92,1.16,0
28.47,339,96,4.11,0
7.74,559,22,2.26,0
-4.42,287,48,2.0,0
20.11,380,61,2.46,0
21.3,734,91,4.79,0
-0.09,569,41,3.08,0
29.32,822,29,2.32,0
-0.64,317,43,0.07,0
12.62,995,43,4.3,0
3.28,116,75,1.36,0
29.1,443,47,3.04,0
22.66,166,17,3.31,0
32.71,390,97,4.71,0
30.23,959,11,3.04,0
-0.07,900,25,0.72,0
24.28,228,93,0.16,0
5.5,515,55,0.66,0
-10.96,793,89,1.74,0
-3.49,391,23,2.89,0
39.65,131,56,2.01,0
-15.26,597,77,0.22,0
-17.24,61,0,4.78,0
13.96,364,66,3.07,0
19.03,141,72,0.38,0
38.91,686,28,1.47,0
-17.06,250,22,3.14,0
22.66,898,39,0.73,0
-16.65,553,39,0.2,0
-19.12,261,2,1.82,0
19.56,821,28,3.49,0
39.07,944,86,7.77,1
33.9,347,55,1.74,0
2.34,164,82,3.95,0
14.48,717,39,2.62,0
33.4,554,66,1.38,0
-5.58,818,69,3.37,0
-3.66,238,14,3.52,0
8.47,850,62,2.53,0
6.92,392,15,1.26,0
39.21,654,93,1.04,0
22.37,284,23,2.51,0
7.21,266,44,3.03,0
-14.65,41,94,3.07,0
2.7,992,87,0.01,0
-14.99,33,84,0.85,0
0.54,810,37,0.06,0
39.14,72,67,2.91,0
28.32,905,98,0.5,0
8.86,812,65,1.45,0
32.14,571,71,0.09,0
11.68,927,60,0.24,0
38.69,995,81,5.87,1
37.89,978,96,5.34,1
20.94,138,63,4.44,0
38.59,176,14,4.82,0
18.0,728,8,3.99,0
37.61,979,99,9.66,1
36.74,972,85,5.02,1
28.0,899,27,1.36,0
20.84,646,3,2.64,0
-3.58,21,89,0.02,0
11.0,250,99,0.56,0
20.55,936,7,3.5,0
37.2,313,95,1.6,0
37.73,913,77,6.72,1
-7.57,689,3,0.96,0
35.2,942,93,5.64,1
-2.45,596,15,0.77,0
35.38,812,35,4.97,0
29.85,201,91,1.97,0
11.47,575,69,4.51,0
9.54,61,66,3.75,0
35.58,997,84,5.94,1
16.62,666,98,0.1,0
17.82,391,39,2.75,0
32.3,40,73,0.25,0
39.89,968,84,6.95,1
10.73,238,28,3.6,0
-7.74,635,86,1.38,0
23.47,67,18,3.78,0
-1.79,293,18,4.79,0
8.45,62,2,2.64,0
10.51,233,93,2.62,0
10.49,265,30,3.04,0
39.98,923,100,8.39,1
-17.29,863,50,1.45,0
36.54,908,92,6.62,1
20.0,748,11,1.69,0
23.89,323,31,4.02,0
30.88,734,57,2.86,0
35.36,973,76,6.22,1
10.83,716,90,3.77,0
1.57,813,33,1.93,0
-3.89,612,82,3.34,0
-13.11,293,75,1.47,0
19.69,861,9,3.43,0
36.65,976,96,6.29,1
34.56,572,76,3.4,0
14.37,653,29,2.92,0
39.68,908,93,6.87,1
-3.96,847,44,4.48,0
31.78,956,40,4.77,0
-11.63,504,65,3.95,0
39.0,84,59,1.58,0
22.85,113,0,0.18,0
19.7,745,57,2.99,0
-16.87,538,55,4.73,0
37.11,924,99,7.2,1
-13.94,880,43,2.28,0
-9.89,709,88,0.85,0
35.33,336,97,2.47,0
0.73,279,87,1.12,0
-14.5,115,32,4.4,0
16.76,658,98,4.26,0
-18.89,898,82,2.49,0
35.04,419,59,0.34,0
-12.25,357,84,0.33,0
12.62,450,28,4.28,0
24.58,622,24,2.14,0
-17.49,49,27,1.81,0
30.38,890,38,3.59,0
38.73,965,81,7.78,1
22.94,65,7,1.41,0
-16.55,799,40,2.17,0
38.39,994,98,5.39,1
-12.57,463,11,0.53,0
-2.95,957,34,3.96,0
37.39,977,96,5.64,1
31.02,950,22,3.71,0
29.58,618,59,2.92,0
37.52,979,91,6.12,1
36.89,901,81,8.65,1
33.3,277,72,1.87,0
19.19,656,57,1.42,0
20.95,511,81,3.85,0
36.17,748,78,0.14,0
39.41,951,93,9.08,1
15.38,204,52,3.44,0
4.54,702,12,0.26,0
36.2,919,75,6.48,1
12.65,340,22,3.82,0
-3.59,954,66,2.65,0
0.96,452,15,4.69,0
21.37,148,76,4.82,0
39.95,939,93,7.8,1
37.13,610,8,1.14,0
-1.41,103,13,0.98,0
35.31,931,78,6.66,1
2.76,617,89,4.62,0
20.52,169,29,2.05,0
11.82,547,47,3.74,0
23.58,687,29,4.51,0
13.68,11,29,4.58,0
7.49,678,62,3.73,0
12.48,360,58,1.07,0
8.74,900,58,0.08,0
35.47,912,95,5.58,1
2.97,209,99,0.52,0
-14.72,854,47,2.0,0
20.47,37,0,3.43,0
-16.8,206,68,0.81,0
27.03,209,56,0.3,0
-6.38,638,93,0.04,0
29.97,878,71,4.35,0
35.41,926,85,9.97,1
5.7,388,51,3.7,0
14.28,696,79,2.89,0
39.49,330,43,4.37,0
39.29,987,98,6.2,1
1.05,834,79,3.51,0
38.58,427,7,4.08,0
3.97,56,57,3.03,0
38.06,999,75,9.52,1
-1.24,733,39,1.55,0
21.57,962,52,2.76,0
38.32,465,2,0.67,0
37.15,999,80,6.55,1
-2.97,129,55,0.52,0
29.38,907,8,0.79,0
31.36,76,90,1.46,0
1.2,897,75,2.97,0
10.34,164,5,4.85,0
17.62,690,79,3.72,0
13.79,994,92,1.71,0
31.24,105,23,1.86,0
-14.84,210,67,3.38,0
25.81,233,82,0.0,0
-6.78,815,76,0.94,0
37.05,691,47,0.55,0
3.17,188,39,1.41,0
-6.19,172,79,2.37,0
9.39,507,49,2.74,0
-15.87,90,13,4.87,0
-14.63,51,13,0.34,0
37.01,914,78,8.7,1
-8.82,869,2,2.52,0
38.07,623,17,2.78,0
7.61,361,87,4.74,0
17.99,927,98,2.67,0
17.89,859,63,0.7,0
36.06,876,62,1.38,0
7.91,217,66,2.56,0
32.28,702,58,1.48,0
5.1,208,100,4.31,0
34.75,847,48,0.18,0
-17.48,210,89,2.53,0
0.11,533,23,3.3,0
10.92,269,77,1.93,0
-0.12,746,21,3.29,0
38.21,924,84,5.84,1
32.37,891,37,3.98,0
3.76,69,26,2.89,0
-2.11,805,67,4.52,0
34.74,125,78,2.42,0
30.02,481,30,4.79,0
38.03,935,92,5.58,1
3.17,545,95,1.76,0
20.84,480,50,2.18,0
17.03,794,9,1.81,0
31.14,36,18,2.77,0
38.18,980,63,1.48,0
-16.8,829,22,2.88,0
-14.73,162,81,2.9,0
-0.43,381,5,4.49,0
-3.13,988,84,1.2,0
-2.34,430,36,0.28,0
-13.85,419,57,3.29,0
10.99,602,96,3.3,0
25.97,472,41,2.33,0
22.6,282,84,3.72,0
16.86,33,59,0.8,0
7.69,40,87,1.17,0
26.92,732,16,4.31,0
30.76,278,40,3.15,0
-6.45,417,97,3.73,0
-18.71,532,70,4.61,0
24.09,96,25,4.2,0
37.68,992,96,9.45,1
-2.47,769,33,0.03,0
35.42,229,21,0.84,0
-6.31,904,37,1.87,0
-1.95,662,94,0.73,0
-14.66,187,92,2.5,0
8.65,70,46,3.64,0
6.63,81,29,1.22,0
13.02,483,91,0.79,0
-1.84,700,25,2.73,0
36.84,835,65,1.31,0
21.73,857,94,0.76,0
-4.84,41,57,3.51,0
-6.26,340,22,3.61,0
-15.33,264,83,2.79,0
31.16,19,34,4.07,0
18.71,500,77,0.53,0
-17.63,452,62,3.12,0
-16.72,171,34,2.28,0
19.28,803,82,2.39,0
27.8,520,9,3.35,0
-13.75,912,75,1.18,0
36.11,929,85,9.5,1
33.11,159,45,1.95,0
-11.04,325,14,3.31,0
28.43,898,80,4.29,0
11.67,754,71,4.69,0
-18.91,710,81,4.22,0
-6.32,846,47,2.16,0
28.41,124,99,2.34,0
23.07,330,98,4.09,0
1.79,700,92,2.81,0
39.37,635,74,2.52,0
35.97,805,59,1.09,0
18.89,75,68,0.48,0
-0.06,302,58,3.66,0
19.06,504,7,3.13,0
34.56,633,15,1.78,0
27.68,430,27,1.59,0
23.5,157,11,1.2,0
-10.25,194,52,3.99,0
32.37,120,80,4.08,0
-17.12,350,18,2.51,0
31.64,442,1,2.86,0
19.88,740,74,0.89,0
10.55,882,45,1.44,0
17.45,91,65,4.34,0
8.41,146,20,1.55,0
31.08,274,14,1.22,0
12.69,275,4,4.11,0
0.86,475,37,3.66,0
18.28,145,22,1.01,0
38.11,318,77,0.68,0
-10.22,513,99,4.26,0
17.96,42,89,0.97,0
11.04,776,84,3.94,0
18.43,789,69,2.42,0
37.39,902,96,5.26,1
34.04,54,56,0.36,0
4.62,433,36,0.21,0
36.43,563,27,3.01,0
-10.48,404,80,0.27,0
-4.55,289,22,3.16,0
34.65,668,96,4.94,0
22.13,357,16,2.68,0
-6.09,622,36,4.63,0
-12.91,980,10,1.5,0
15.51,385,63,4.95,0
37.52,724,65,5.0,0
35.22,941,84,6.55,1
33.84,675,51,4.44,0
7.6,579,14,4.98,0
27.52,605,2,1.06,0
12.43,113,66,1.9,0
27.77,852,86,2.59,0
6.18,735,16,3.11,0
26.49,269,58,2.45,0
-12.96,106,84,2.82,0
-6.61,747,83,0.57,0
-16.4,355,89,2.85,0
-12.61,363,80,4.87,0
-13.49,668,29,4.35,0
-6.85,972,32,0.76,0
35.37,978,42,0.74,0
9.97,62,43,3.32,0
2.98,670,18,1.0,0
-14.69,648,92,3.65,0
-13.6,484,4,1.78,0
-0.12,220,20,1.1,0
37.32,942,99,9.71,1
16.62,810,97,0.39,0
37.79,953,93,7.95,1
39.49,989,20,3.49,0
7.37,156,57,4.02,0
39.45,1000,92,5.03,1
9.84,713,55,0.52,0
32.01,374,9,4.76,0
39.54,939,98,8.64,1
-3.61,22,87,4.49,0
10.59,395,46,4.52,0
6.73,771,19,4.88,0
-8.09,302,96,1.3,0
20.11,719,93,0.84,0
6.73,219,74,1.86,0
-5.96,897,63,2.62,0
-17.42,851,87,2.78,0
-0.45,192,50,3.01,0
27.24,81,18,1.34,0
35.41,927,77,7.61,1
35.01,958,76,9.27,1
-15.68,605,36,2.12,0
39.59,627,78,1.73,0
9.25,914,69,3.15,0
-1.34,562,87,2.7,0
27.72,156,70,0.66,0
29.36,566,89,1.28,0
29.44,133,36,0.94,0
-18.5,638,12,3.59,0
12.35,839,42,3.29,0
20.11,298,68,0.72,0
11.14,83,56,4.94,0
22.29,624,47,1.4,0
-7.75,112,65,4.73,0
32.97,181,50,2.35,0
38.19,866,39,1.73,0
26.43,872,73,4.38,0
12.74,97,60,0.77,0
-10.68,795,36,3.86,0
16.7,466,27,4.12,0
-17.93,175,46,1.66,0
-13.37,214,4,1.89,0
7.65,358,86,3.88,0
-13.54,607,11,0.08,0
35.46,994,85,6.61,1
-2.58,67,90,0.15,0
33.26,553,53,4.43,0
17.65,516,70,0.11,0
-4.62,26,43,0.89,0
39.65,197,45,4.59,0
-13.52,610,67,2.88,0
-7.77,643,72,1.26,0
7.91,157,92,1.07,0
4.95,588,56,1.26,0
-11.63,748,58,2.4,0
-19.28,983,8,1.16,0
25.55,732,52,3.18,0
-9.77,603,74,2.89,0
-11.66,330,47,2.53,0
35.11,973,99,6.62,1
16.93,360,1,4.77,0
30.49,573,64,1.04,0
35.82,989,85,6.36,1
-16.27,738,63,1.19,0
-1.33,99,32,2.89,0
-18.65,745,66,1.03,0
9.17,531,12,0.11,0
32.91,282,21,2.24,0
36.33,971,79,5.03,1
-15.46,384,28,0.05,0
4.37,198,12,1.46,0
-6.76,245,44,4.36,0
35.64,932,79,9.63,1
34.22,223,98,3.57,0
-13.06,364,88,2.76,0
37.4,911,83,6.2,1
16.63,758,32,4.45,0
-0.68,757,24,1.58,0
-16.07,128,36,2.14,0
35.47,952,87,7.07,1
-9.4,203,61,2.11,0
29.56,683,28,1.56,0
-10.61,80,97,4.97,0
17.37,953,61,2.85,0
-15.46,359,4,1.26,0
6.61,754,49,1.4,0
17.84,286,75,0.28,0
36.5,968,89,7.56,1
-1.77,644,66,2.22,0
4.81,962,43,2.33,0
35.94,986,79,9.9,1
15.37,44,19,4.71,0
-11.09,326,57,2.68,0
37.73,275,76,3.9,0
35.06,913,76,5.76,1
23.37,994,60,4.85,0
37.22,972,88,5.99,1
37.35,912,85,7.98,1
35.17,979,92,6.82,1
-19.59,815,34,4.41,0
36.9,905,68,0.14,0
18.2,887,34,0.92,0
33.97,93,63,1.78,0
-8.97,994,44,2.99,0
-11.24,343,89,4.03,0
-10.41,766,93,0.06,0
-18.68,841,1,3.7,0
7.29,708,9,2.4,0
37.86,939,83,7.95,1
-3.39,230,89,2.53,0
11.43,958,26,3.37,0
17.76,412,21,2.56,0
38.5,994,95,9.1,1
37.97,947,90,8.23,1
35.82,973,79,5.48,1
30.74,923,95,4.74,0
-5.54,572,100,3.25,0
-8.96,632,34,3.06,0
39.86,390,81,1.98,0
8.01,63,70,0.78,0
25.22,918,65,2.84,0
-17.32,337,93,2.62,0
37.27,948,97,5.73,1
27.2,942,72,2.33,0
21.02,597,94,0.92,0
30.73,893,1,2.85,0
-1.11,226,28,3.3,0
39.19,952,78,6.24,1
3.52,599,73,1.86,0
-17.15,672,19,0.72,0
-7.33,767,34,3.81,0
-15.71,594,87,2.9,0
-8.47,606,78,0.4,0
-15.77,498,20,2.02,0
39.77,95,78,3.49,0
22.65,363,31,4.1,0
35.7,995,88,6.02,1
-12.85,448,32,0.31,0
6.56,822,54,3.61,0
39.73,966,80,5.02,1
21.07,189,39,2.18,0
-16.11,532,49,3.24,0
1.17,107,66,0.8,0
37.19,497,67,2.07,0
10.53,251,14,4.19,0
16.94,433,24,2.6,0
18.94,162,65,0.99,0
25.16,44,66,4.17,0
10.72,483,61,1.87,0
37.35,955,94,7.85,1
-2.86,450,20,2.11,0
13.77,601,71,0.23,0
14.75,190,15,0.92,0
26.47,439,71,3.02,0
37.32,466,99,3.33,0
36.96,184,42,4.58,0
-4.7,495,41,2.11,0
34.64,424,24,3.25,0
14.93,541,44,3.36,0
26.77,12,21,3.98,0
-1.62,921,38,3.99,0
-3.63,483,1,3.5,0
0.35,145,30,0.84,0
-3.87,333,78,1.68,0
37.46,689,34,0.52,0
-4.63,289,10,4.68,0
11.64,335,29,2.54,0
-3.93,415,84,4.91,0
18.9,707,12,1.77,0
39.63,952,80,6.17,1
36.07,523,17,3.48,0
27.79,712,36,1.98,0
6.31,442,47,2.54,0
-17.32,570,72,1.0,0
-9.34,487,90,4.24,0
38.78,374,42,2.55,0
36.08,911,86,6.08,1
35.78,932,79,9.86,1
-19.74,888,62,0.67,0
37.24,949,100,7.29,1
37.73,479,6,1.01,0
3.29,217,26,1.78,0
36.53,673,53,0.88,0
27.16,100,1,2.2,0
-7.64,267,54,0.12,0
36.67,981,100,6.53,1
-15.51,149,32,0.07,0
34.88,592,82,2.36,0
-2.95,46,66,4.66,0
-6.82,737,56,1.79,0
-6.97,174,35,1.42,0
37.19,322,29,3.24,0
7.23,909,18,3.06,0
33.79,391,5,1.37,0
-5.31,21,35,2.83,0
2.43,113,68,2.1,0
0.91,482,52,2.8,0
37.37,755,65,1.75,0
30.7,154,35,4.09,0
9.13,717,23,2.67,0
5.79,538,93,3.44,0
-14.3,89,46,2.3,0
36.53,955,2,1.1,0
37.89,395,98,2.61,0
-10.25,85,21,2.8,0
1.25,910,94,3.87,0
36.5,942,87,6.58,1
-19.48,869,24,0.1,0
22.99,995,23,1.83,0
36.04,428,6,0.74,0
11.07,358,1,1.1,0
14.53,166,66,4.72,0
-18.58,184,82,2.04,0
32.79,990,25,2.67,0
37.7,407,13,4.46,0
18.81,464,10,3.64,0
-0.29,655,7,1.82,0
29.43,144,69,0.13,0
-5.31,704,63,2.35,0
36.3,970,79,9.36,1
6.96,28,97,2.54,0
-1.62,198,51,3.17,0
16.14,359,47,0.03,0
-13.0,985,44,3.43,0
32.97,815,48,2.82,0
30.63,269,49,4.2,0
37.29,918,85,7.43,1
-14.69,979,39,1.0,0
15.05,100,84,1.65,0
-18.6,479,84,3.01,0
22.52,517,0,0.99,0
-0.03,30,65,3.29,0
0.66,389,42,4.52,0
39.1,941,97,9.27,1
-0.83,998,2,0.91,0
23.86,579,62,1.77,0
14.08,862,4,0.43,0
37.43,938,98,7.48,1
29.99,657,96,3.63,0
17.83,437,21,1.21,0
21.87,847,82,3.0,0
-13.06,456,29,0.12,0
5.0,203,64,3.66,0
8.79,438,76,2.5,0
-17.34,867,88,4.82,0
32.81,784,93,1.42,0
12.32,621,23,0.24,0
30.05,679,17,0.15,0
21.85,993,21,3.35,0
7.19,960,20,4.79,0
30.47,561,48,1.33,0
-14.97,680,7,3.99,0
7.74,214,94,1.99,0
14.19,454,32,0.25,0
26.69,374,53,2.84,0
37.76,992,87,6.13,1
-1.89,96,40,4.84,0
31.31,501,16,1.42,0
35.96,973,87,5.74,1
-16.77,614,7,4.4,0
22.89,64,29,2.12,0
28.25,939,85,4.68,0
19.76,810,100,1.95,0
18.04,617,82,4.87,0
38.59,65,15,2.73,0
-13.76,489,16,0.12,0
33.25,130,46,3.59,0
-4.24,58,11,3.43,0
38.32,972,97,7.21,1
20.2,262,84,3.52,0
-10.86,752,84,2.47,0
3.34,389,22,4.36,0
10.38,303,8,1.29,0
29.53,972,34,3.94,0
-11.2,788,60,3.53,0
7.24,170,72,0.11,0
-1.18,823,34,3.99,0
5.04,86,42,0.46,0
14.58,225,10,0.59,0
-13.48,620,44,4.19,0
9.47,384,100,3.56,0
-17.45,485,53,4.82,0
13.52,790,71,4.43,0
22.71,131,75,0.87,0
16.27,945,54,2.73,0
39.95,958,91,9.53,1
5.18,754,50,0.55,0
-2.62,33,21,0.05,0
-10.42,356,91,0.86,0
7.55,568,67,0.1,0
32.5,557,84,1.2,0
13.1,800,11,0.0,0
-15.9,262,79,3.52,0
10.78,571,26,3.13,0
20.22,682,37,4.08,0
-18.04,505,83,0.24,0
8.56,631,58,4.31,0
-3.69,432,40,3.65,0
-12.51,803,79,3.77,0
11.52,236,11,4.26,0
33.2,178,35,0.8,0
8.87,780,34,1.46,0
-9.39,969,2,2.5,0
15.48,834,64,3.89,0
26.34,490,85,4.99,0
22.91,425,53,4.45,0
-6.47,46,19,3.71,0
4.23,544,47,1.47,0
9.6,715,17,1.2,0
37.24,942,77,5.9,1
12.17,982,71,0.96,0
-16.42,428,1,1.53,0
15.33,421,23,1.84,0
-4.98,622,40,1.42,0
35.77,970,75,7.31,1
-10.94,532,50,1.23,0
17.45,24,19,4.41,0
8.73,221,95,1.07,0
-0.41,134,45,1.68,0
24.72,997,59,0.5,0
20.71,742,82,2.52,0
-6.4,501,97,2.19,0
36.92,912,92,6.01,1
27.69,261,8,1.49,0
1.43,535,9,3.08,0
36.27,972,78,8.37,1
14.84,499,86,1.29,0
37.17,962,99,9.35,1
-3.25,22,99,1.44,0
3.13,184,21,0.2,0
35.79,404,15,4.39,0
2.89,317,43,0.54,0
-18.1,288,73,4.82,0
-10.92,416,45,1.77,0
36.43,466,55,1.37,0
30.21,703,10,3.03,0
-2.51,513,83,4.87,0
34.8,142,36,1.64,0
35.41,981,85,5.86,1
13.98,10,6,2.74,0
39.11,90,24,4.36,0
6.9,581,15,3.03,0
34.76,922,27,1.75,0
-16.39,1000,72,1.97,0
37.35,960,77,5.44,1
5.76,432,42,3.97,0
21.69,465,93,2.17,0
-6.65,556,65,1.55,0
36.52,400,66,2.9,0
34.51,854,29,1.9,0
25.82,991,52,4.73,0
35.57,23,0,0.0,0
12.77,777,20,3.46,0
14.1,550,20,0.2,0
39.53,987,88,9.68,1
-10.42,65,67,1.32,0
17.46,390,83,1.45,0
9.43,973,12,3.26,0
27.27,777,15,2.56,0
9.85,329,96,1.4,0
12.25,450,62,3.53,0
39.3,918,90,3.01,0
4.45,118,6,2.45,0
17.26,318,82,1.24,0
20.68,570,52,0.25,0
37.74,914,98,5.21,1
27.58,605,90,3.14,0
-19.42,779,18,1.65,0
1.53,99,1,0.75,0
10.71,301,2,3.21,0
17.9,992,72,0.79,0
24.4,619,10,0.43,0
0.72,577,90,3.42,0
-19.8,233,97,1.95,0
-4.81,328,42,4.37,0
6.9,350,94,4.15,0
27.27,973,85,3.38,0
39.53,551,28,2.09,0
35.63,917,82,8.95,1
4.71,784,79,2.72,0
-3.87,204,71,3.29,0
0.72,820,19,2.19,0
-4.11,560,57,4.84,0
-17.22,472,93,1.32,0
-19.89,133,19,3.43,0
-17.59,635,7,4.46,0
17.93,763,86,2.37,0
12.45,206,60,1.43,0
-16.98,189,79,0.68,0
6.4,567,2,4.4,0
7.2,569,1,3.17,0
-2.66,806,32,1.97,0
27.24,452,32,0.26,0
36.53,921,99,6.29,1
-15.64,233,50,1.68,0
37.28,940,77,9.48,1
6.87,103,9,4.61,0
-6.48,634,25,0.92,0
33.72,70,48,2.41,0
-17.04,326,53,3.84,0
28.75,648,42,4.1,0
-3.17,802,97,2.85,0
22.36,49,100,1.71,0
32.24,707,88,2.05,0
-13.85,400,15,4.55,0
34.43,652,37,2.59,0
36.09,753,99,2.64,0
15.79,787,56,3.47,0
26.35,274,67,1.51,0
27.53,461,42,3.75,0
-18.24,75,41,2.45,0
5.43,507,5,0.88,0
9.2,785,31,0.61,0
35.85,683,87,4.53,0
35.1,908,86,8.88,1
-11.74,79,40,0.98,0
29.58,257,68,1.55,0
39.74,971,99,6.39,1
30.96,831,71,4.15,0
0.14,204,27,3.16,0
-19.44,374,61,3.97,0
-7.92,140,9,4.23,0
7.92,931,55,3.67,0
34.21,869,13,3.25,0
31.52,470,57,4.85,0
-0.99,366,4,3.82,0
-4.16,909,60,1.69,0
-3.99,220,45,3.7,0
28.51,970,17,3.78,0
-5.54,729,12,2.93,0
37.31,777,20,1.42,0
36.25,769,55,2.89,0
14.18,724,24,4.97,0
7.6,165,12,2.95,0
7.99,687,5,3.9,0
39.78,991,95,5.85,1
-9.54,323,13,4.67,0
12.71,298,83,0.02,0
32.47,323,95,3.01,0
-12.42,224,67,3.6,0
6.64,329,58,4.41,0
9.82,289,18,1.65,0
-18.53,118,14,4.67,0
38.83,968,95,8.91,1
35.9,930,82,9.41,1
25.13,195,50,4.08,0
27.51,457,21,3.34,0
-13.58,407,60,0.97,0
39.15,994,85,7.1,1
16.91,552,83,1.07,0
-18.96,104,37,3.75,0
-7.48,910,78,0.89,0
5.54,786,82,4.3,0
11.46,642,24,2.82,0
-19.83,213,13,2.73,0
19.95,106,7,1.46,0
-12.57,670,78,4.32,0
26.96,139,43,0.76,0
20.81,729,40,4.53,0
26.63,850,20,0.2,0
27.53,271,56,0.05,0
19.78,545,21,1.43,0
-6.48,797,100,4.22,0
28.66,498,32,0.65,0
20.72,515,87,4.93,0
7.79,885,85,0.98,0
0.67,580,100,3.66,0
16.69,716,23,4.21,0
-19.22,114,63,3.95,0
-8.43,386,22,1.32,0
15.13,118,68,0.18,0
2.47,372,93,2.97,0
-19.97,946,24,1.72,0
34.84,475,39,2.28,0
17.28,947,76,4.57,0
-2.23,632,4,4.2,0
-18.25,250,96,2.87,0
39.78,988,81,7.32,1
9.22,294,40,4.96,0
9.86,946,18,1.57,0
-15.9,487,42,1.55,0
8.5,921,76,3.94,0
15.89,31,61,3.86,0
-15.86,302,4,4.63,0
28.65,386,50,3.89,0
13.03,400,21,1.96,0
38.97,467,23,3.38,0
-2.05,338,38,1.3,0
18.61,155,83,4.9,0
37.11,996,100,6.05,1
-12.15,522,31,2.88,0
37.73,208,59,0.71,0
-9.87,944,50,2.23,0
7.04,694,77,2.23,0
8.43,852,20,2.29,0
6.6,29,49,3.95,0
35.13,927,79,5.17,1
-6.69,721,58,1.88,0
12.66,241,1,1.65,0
-17.9,715,22,2.14,0
36.77,947,86,5.83,1
31.74,117,82,0.82,0
38.24,213,94,4.44,0
7.26,690,64,0.77,0
11.45,984,47,1.92,0
37.57,30,33,0.91,0
9.88,285,93,4.81,0
-8.85,647,21,2.62,0
-16.82,325,91,4.34,0
14.85,585,8,1.46,0
-16.74,340,7,3.8,0
20.23,755,35,1.83,0
35.1,513,45,2.57,0
31.32,58,57,4.3,0
37.34,957,75,9.17,1
13.75,439,54,1.63,0
10.11,822,52,4.49,0
-17.83,604,72,3.3,0
-12.09,447,92,3.2,0
-12.95,23,31,0.86,0
35.44,616,87,0.57,0
39.48,984,97,9.94,1
-18.09,381,6,1.49,0
1.02,862,27,0.45,0
39.31,573,48,3.4,0
27.25,951,79,0.47,0
32.07,879,19,4.64,0
-11.52,944,36,4.42,0
-17.73,720,75,0.14,0
-4.84,520,57,4.33,0
35.12,981,76,5.23,1
37.92,120,71,2.39,0
-18.08,382,14,1.19,0
-17.8,38,7,1.49,0
33.93,542,2,3.28,0
37.68,862,52,0.27,0
39.39,308,60,1.79,0
-15.07,286,53,4.22,0
10.61,691,46,0.87,0
-11.23,570,67,3.27,0
39.77,986,80,5.61,1
9.74,719,12,3.01,0
31.35,989,21,4.0,0
-18.84,382,33,2.19,0
-17.35,945,11,0.86,0
-14.2,496,89,0.96,0
24.73,410,11,0.24,0
31.98,798,4,2.01,0
5.92,440,56,3.01,0
-12.73,515,36,1.12,0
-5.21,116,90,0.88,0
39.06,972,85,9.13,1
-2.51,642,58,0.14,0
33.28,928,42,4.06,0
8.24,436,75,1.65,0
22.36,87,50,1.78,0
1.79,146,85,1.99,0
20.77,853,56,3.15,0
32.63,393,29,4.96,0
30.84,715,16,1.26,0
-9.95,644,89,0.18,0
-5.33,318,35,3.21,0
-5.94,876,41,0.07,0
14.39,505,89,2.08,0
-9.93,796,31,2.26,0
17.48,872,6,4.82,0
33.29,214,62,2.74,0
39.37,938,79,6.98,1
35.36,26,33,3.86,0
19.47,512,87,1.54,0
0.05,403,71,0.22,0
12.32,337,34,0.88,0
6.23,991,78,3.81,0
36.81,966,81,7.69,1
37.12,487,48,3.82,0
-13.47,364,56,3.29,0
35.88,950,96,8.7,1
-1.21,929,95,3.21,0
10.0,612,9,1.57,0
6.97,422,53,2.83,0
-10.01,182,62,4.97,0
8.3,469,40,2.65,0
14.43,909,19,2.03,0
25.81,391,53,1.12,0
-0.69,962,40,3.72,0
13.42,543,20,3.59,0
-7.11,990,8,2.34,0
16.06,489,81,0.92,0
2.1,765,98,4.97,0
35.21,917,91,5.79,1
-18.72,488,14,4.95,0
18.4,660,94,0.42,0
29.3,473,25,4.79,0
28.99,589,47,4.44,0
8.32,986,66,1.92,0
31.94,88,89,1.31,0
-2.17,399,20,3.64,0
39.21,363,29,4.95,0
-11.55,500,45,2.51,0
-1.82,269,7,1.22,0
35.87,537,94,0.73,0
35.83,972,96,6.04,1
-2.88,958,50,4.45,0
34.09,382,87,2.59,0
0.11,121,46,2.84,0
35.45,973,82,9.48,1
11.38,319,31,4.16,0
39.86,947,78,9.79,1
38.93,303,57,0.09,0
34.2,236,81,4.28,0
29.48,817,65,4.09,0
3.74,459,10,0.88,0
-15.65,655,56,2.4,0
-9.33,770,45,0.21,0
12.93,358,34,4.21,0
26.41,297,43,0.07,0
17.97,120,70,3.16,0
17.09,612,59,2.2,0
-17.11,125,7,2.39,0
1.91,774,20,2.07,0
1.58,228,56,1.94,0
-13.76,775,50,3.01,0
16.17,85,85,0.34,0
27.82,942,57,2.84,0
21.56,43,8,2.07,0
21.34,206,24,1.95,0
33.05,793,44,3.62,0
8.88,771,80,0.79,0
26.96,463,82,1.11,0
12.74,294,28,4.25,0
38.29,987,84,8.3,1
14.81,887,20,3.62,0
9.02,466,65,3.35,0
35.53,82,19,0.25,0
37.26,73,44,1.38,0
22.44,984,92,3.7,0
22.36,14,36,2.12,0
2.08,551,90,1.67,0
12.9,90,100,2.94,0
15.17,323,37,0.99,0
23.85,844,35,1.74,0
